Name,MapDate,DSCI
California,20211207,401
California,20211214,401
California,20211221,395
California,20211228,320
California,20220104,284
California,20220111,267
California,20220118,267
California,20220125,267
California,20220201,267
California,20220208,267
California,20220215,267
California,20220222,275
California,20220301,300
California,20220308,300
California,20220315,328
California,20220322,331
California,20220329,334
California,20220405,334
California,20220412,343
California,20220419,336
California,20220426,336
California,20220503,336
California,20220510,355
California,20220517,355
California,20220524,369
California,20220531,369
California,20220607,369
California,20220614,369
California,20220621,369
California,20220628,369
California,20220705,369
California,20220712,370
California,20220719,370
California,20220726,370
California,20220802,369
California,20220809,360
California,20220816,357
California,20220823,357
California,20220830,354
California,20220906,354
California,20220913,351
California,20220920,351
California,20220927,351
California,20221004,351
California,20221011,351
California,20221018,349
California,20221025,351
California,20221101,351
California,20221108,346
California,20221115,338
California,20221122,338
California,20221129,338
California,20221206,337
California,20221213,321
California,20221220,321
California,20221227,321
California,20230103,296
California,20230110,242
California,20230117,234
California,20230124,221
California,20230131,221
California,20230207,217
California,20230214,217
California,20230221,217
California,20230228,157
California,20230307,135
California,20230314,100
California,20230321,96
California,20230328,75
California,20230404,70
California,20230411,43
California,20230418,43
California,20230425,40
California,20230502,40
California,20230509,38
California,20230516,38
California,20230523,34
California,20230530,34
California,20230606,34
California,20230613,32
California,20230620,32
California,20230627,33
California,20230704,33
California,20230711,34
California,20230718,32
California,20230725,32
California,20230801,32
California,20230808,33
California,20230815,33
California,20230822,8
California,20230829,8
California,20230905,7
California,20230912,7
California,20230919,7
California,20230926,6
California,20231003,6
California,20231010,6
California,20231017,6
California,20231024,6
California,20231031,6
California,20231107,6
California,20231114,5
California,20231121,5
California,20231128,5
California,20231205,4
California,20231212,4
California,20231219,4
California,20231226,3
California,20240102,3
California,20240109,3
California,20240116,3
California,20240123,3
California,20240130,9
California,20240206,7
California,20240213,7
California,20240220,7
California,20240227,7
California,20240305,5
California,20240312,5
California,20240319,5
California,20240326,5
California,20240402,5
California,20240409,3
California,20240416,3
California,20240423,3
California,20240430,3
California,20240507,3
California,20240514,1
California,20240521,1
California,20240528,1
California,20240604,1
California,20240611,1
California,20240618,1
California,20240625,3
California,20240702,6
California,20240709,20
California,20240716,23
California,20240723,26
California,20240730,26
California,20240806,28
California,20240813,28
California,20240820,40
California,20240827,49
California,20240903,63
California,20240910,82
California,20240917,82
California,20240924,82
California,20241001,82
California,20241008,91
California,20241015,94
California,20241022,94
California,20241029,91
California,20241105,91
California,20241112,98
California,20241119,95
California,20241126,67
California,20241203,67
California,20241210,80
California,20241217,80
California,20241224,80
California,20241231,97
Colorado,20210727,157
Colorado,20210803,135
Colorado,20210810,136
Colorado,20210817,143
Colorado,20210824,131
Colorado,20210831,130
Colorado,20210907,132
Colorado,20210914,146
Colorado,20210921,168
Colorado,20210928,179
Colorado,20211005,185
Colorado,20211012,206
Colorado,20211019,206
Colorado,20211026,213
Colorado,20211102,210
Colorado,20211109,213
Colorado,20211116,221
Colorado,20211123,238
Colorado,20211130,262
Colorado,20211207,287
Colorado,20211214,287
Colorado,20211221,299
Colorado,20211228,289
Colorado,20220104,285
Colorado,20220111,275
Colorado,20220118,274
Colorado,20220125,275
Colorado,20220201,272
Colorado,20220208,259
Colorado,20220215,259
Colorado,20220222,258
Colorado,20220301,257
Colorado,20220308,255
Colorado,20220315,257
Colorado,20220322,224
Colorado,20220329,224
Colorado,20220405,219
Colorado,20220412,220
Colorado,20220419,225
Colorado,20220426,241
Colorado,20220503,244
Colorado,20220510,256
Colorado,20220517,283
Colorado,20220524,270
Colorado,20220531,260
Colorado,20220607,239
Colorado,20220614,240
Colorado,20220621,237
Colorado,20220628,236
Colorado,20220705,231
Colorado,20220712,218
Colorado,20220719,225
Colorado,20220726,219
Colorado,20220802,194
Colorado,20220809,182
Colorado,20220816,179
Colorado,20220823,172
Colorado,20220830,155
Colorado,20220906,152
Colorado,20220913,152
Colorado,20220920,154
Colorado,20220927,150
Colorado,20221004,136
Colorado,20221011,137
Colorado,20221018,138
Colorado,20221025,149
Colorado,20221101,148
Colorado,20221108,157
Colorado,20221115,159
Colorado,20221122,163
Colorado,20221129,160
Colorado,20221206,163
Colorado,20221213,163
Colorado,20221220,162
Colorado,20221227,163
Colorado,20230103,108
Colorado,20230110,110
Colorado,20230117,110
Colorado,20230124,105
Colorado,20230131,103
Colorado,20230207,111
Colorado,20230214,111
Colorado,20230221,103
Colorado,20230228,102
